Selviytyi,Matkustusluokka,Sukupuoli,Ika,Hinta,LahtoSatama
0,2,0,34.0,13.0,0.0
1,2,1,31.0,26.25,0.0
1,1,0,11.0,120.0,0.0
1,3,0,0.42,8.52,1.0
1,3,0,27.0,6.98,0.0
0,3,0,31.0,7.78,0.0
0,1,0,39.0,0.0,0.0
0,3,1,18.0,7.78,0.0
0,2,0,39.0,13.0,0.0
1,1,1,33.0,53.1,0.0
0,3,0,26.0,7.89,0.0
0,3,0,39.0,24.15,0.0
0,2,0,35.0,10.5,0.0
0,3,1,6.0,31.28,0.0
0,3,0,30.5,8.05,0.0
0,1,0,,0.0,0.0
0,3,1,23.0,7.93,0.0
0,2,0,31.0,37.0,1.0
0,3,0,43.0,6.45,0.0
0,3,0,10.0,27.9,0.0
1,1,1,52.0,93.5,0.0
1,3,0,27.0,8.66,0.0
0,1,0,38.0,0.0,0.0
1,3,1,27.0,12.48,0.0
0,3,0,2.0,39.69,0.0
0,3,0,,6.95,2.0
0,3,0,,56.5,0.0
1,2,0,1.0,37.0,1.0
1,3,0,,7.75,2.0
1,1,1,62.0,80.0,
1,3,1,15.0,14.45,1.0
1,2,0,0.83,18.75,0.0
0,3,0,,7.23,1.0
0,3,0,23.0,7.85,0.0
0,3,0,18.0,8.3,0.0
1,1,1,39.0,83.16,1.0
0,3,0,21.0,8.66,0.0
0,3,0,,8.05,0.0
1,3,0,32.0,56.5,0.0
1,1,0,,29.7,1.0
0,3,0,20.0,7.93,0.0
0,2,0,16.0,10.5,0.0
1,1,1,30.0,31.0,1.0
0,3,0,34.5,6.44,1.0
0,3,0,17.0,8.66,0.0
0,3,0,42.0,7.55,0.0
0,3,0,,69.55,0.0
0,3,0,35.0,7.9,1.0
0,2,0,28.0,33.0,0.0
1,1,1,,89.1,1.0
0,3,0,4.0,31.28,0.0
0,3,0,74.0,7.78,0.0
0,3,1,9.0,15.25,1.0
1,1,1,16.0,39.4,0.0
0,2,1,44.0,26.0,0.0
1,3,1,18.0,9.35,0.0
1,1,1,45.0,164.87,0.0
1,1,0,51.0,26.55,0.0
1,3,1,24.0,19.26,1.0
0,3,0,,7.23,1.0
0,3,0,41.0,14.11,0.0
0,2,0,21.0,11.5,0.0
1,1,1,48.0,25.93,0.0
0,3,1,,69.55,0.0
0,2,0,24.0,13.0,0.0
1,2,1,42.0,13.0,0.0
1,2,1,27.0,13.86,1.0
0,1,0,31.0,50.5,0.0
0,3,0,,9.5,0.0
1,3,0,4.0,11.13,0.0
0,3,0,26.0,7.9,0.0
1,1,1,47.0,52.55,0.0
0,1,0,33.0,5.0,0.0
0,3,0,47.0,9.0,0.0
1,2,1,28.0,24.0,1.0
1,3,1,15.0,7.23,1.0
0,3,0,20.0,9.85,0.0
0,3,0,19.0,7.9,0.0
0,3,0,,7.9,0.0
1,1,1,56.0,83.16,1.0
1,2,1,25.0,26.0,0.0
0,3,0,33.0,7.9,0.0
0,3,1,22.0,10.52,0.0
0,2,0,28.0,10.5,0.0
0,3,0,25.0,7.05,0.0
0,3,1,39.0,29.13,2.0
0,2,0,27.0,13.0,0.0
1,1,1,19.0,30.0,0.0
0,3,1,,23.45,0.0
1,1,0,26.0,30.0,1.0
0,3,0,32.0,7.75,2.0
