Id,Title,Year,Rating,Runtime,Critic.Score,Box.Office
561,Party Monster,2003,R,98,29,0.3
562,The Texas Chainsaw Massacre,2003,R,98,36,80.1
563,Runaway Jury,2003,PG-13,127,72,49.2
564,Scary Movie 3,2003,PG-13,84,36,109.8
565,Wonderland,2003,R,104,34,1.0
566,Beyond Borders,2003,R,127,14,4.4
567,Radio,2003,PG,109,36,52.3
568,In the Cut,2003,R,119,34,4.7
569,Brother Bear,2003,G,85,38,85.1
570,The Matrix Revolutions,2003,R,129,36,139.1
571,Elf,2003,PG,97,84,173.4
572,Master and Commander: The Far Side of the World,2003,PG-13,138,85,93.9
573,Love Actually,2003,R,135,63,59.4
574,The Singing Detective,2003,R,109,39,0.3
575,Elephant,2003,R,81,72,1.2
576,Looney Tunes: Back in Action,2003,PG,91,57,20.9
577,Tupac: Resurrection,2003,R,112,78,7.6
578,Dr. Seuss' The Cat in the Hat,2003,PG,82,10,100.4
579,Gothika,2003,R,98,14,59.5
580,The Missing,2003,R,137,58,26.8
581,Timeline,2003,PG-13,116,12,19.4
582,Shattered Glass,2003,PG-13,94,91,2.1
583,The Haunted Mansion,2003,PG,88,13,75.8
584,Pieces of April,2003,PG-13,80,84,2.4
585,Honey,2003,PG-13,94,21,30.2
586,Pride and Prejudice,2003,PG,104,66,0.0814
587,The Last Samurai,2003,R,154,65,111.1
588,Love Don't Cost a Thing,2003,PG-13,100,13,21.7
589,Something's Gotta Give,2003,PG-13,128,71,124.6
590,The Lord of the Rings: The Return of the King,2003,PG-13,201,95,377.0
591,Mona Lisa Smile,2003,PG-13,117,35,63.7
592,Paycheck,2003,PG-13,119,27,53.7
593,Peter Pan,2003,PG,113,77,48.4
594,Cheaper by the Dozen,2003,PG,98,24,138.5
595,The Young Black Stallion,2003,G,45,45,6.1
596,Calendar Girls,2003,PG-13,108,74,30.9
597,Casa de los babys,2003,R,95,58,0.3
598,Big Fish,2003,PG-13,125,77,66.3
599,House of Sand and Fog,2003,R,126,75,12.9
600,"The Book of Mormon Movie, Volume 1: The Journey",2003,PG-13,120,17,1.1
601,21 Grams,2003,R,124,80,16.2
602,The Cooler,2003,R,101,77,8.2
603,Monster,2003,R,109,82,34.2
604,Concert for George,2003,PG-13,146,94,0.07
605,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,PG-13,95,98,4.1
606,Touching the Void,2003,R,106,93,4.5
607,Billabong Odyssey,2003,PG,88,36,0.054000000000000006
608,Easy,2003,R,99,59,0.0148
609,Bukowski: Born into This,2003,R,130,83,0.0817
610,I'll Sleep When I'm Dead,2003,R,103,43,0.2
611,The Company,2003,R,112,71,2.2
612,Where's the Party Yaar?,2003,PG-13,110,69,0.0488
613,Coffee and Cigarettes,2003,R,95,65,2.0
614,Latter Days,2003,R,107,43,0.6
615,Open Water,2003,R,79,72,30.5
616,I Am David,2003,PG,90,38,0.3
617,The Yes Men,2003,R,83,84,0.2
618,Baadasssss!,2003,R,109,91,0.3
619,Saints and Soldiers,2003,PG-13,90,66,1.0
620,The United States of Leland,2003,R,108,34,0.3
621,The Wild Parrots of Telegraph Hill,2003,G,83,95,2.7
622,Off the Map,2003,PG-13,105,70,1.3
623,The Woodsman,2004,R,87,88,1.5
624,Torque,2004,PG-13,84,23,21.1
625,Along Came Polly,2004,PG-13,90,26,87.9
626,Teacher's Pet,2004,PG,74,76,6.3
627,Win a Date with Tad Hamilton!,2004,PG-13,95,53,16.9
628,The Butterfly Effect,2004,R,113,33,57.7
629,The Big Bounce,2004,PG-13,88,16,6.3
630,The Perfect Score,2004,PG-13,93,17,10.3
631,Catch That Kid,2004,PG,91,12,16.5
632,Miracle,2004,PG,135,80,64.3
633,Barbershop 2: Back in Business,2004,PG-13,106,68,65.0
634,50 First Dates,2004,PG-13,99,44,120.8
635,Highwaymen,2004,R,80,13,0.3
636,Against the Ropes,2004,PG-13,111,12,5.7
637,The Best Two Years,2004,PG,112,73,0.2
638,Welcome to Mooseport,2004,PG-13,110,13,14.2
639,Confessions of a Teenage Drama Queen,2004,PG,89,13,29.2
640,The Passion of the Christ,2004,R,127,49,370.2
641,Club Dread,2004,R,104,29,4.6
642,Twisted,2004,R,97,1,25.0
643,Stateside,2004,R,97,24,0.1
644,Dirty Dancing: Havana Nights,2004,PG-13,86,22,14.1
645,Starsky & Hutch,2004,PG-13,101,63,88.2
646,Hidalgo,2004,PG-13,136,47,67.2
647,Spartan,2004,R,106,64,4.3
648,Agent Cody Banks 2: Destination London,2004,PG,100,13,23.2
649,Secret Window,2004,PG-13,96,46,47.8
650,NASCAR: The IMAX Experience,2004,PG,40,61,19.9
651,Taking Lives,2004,R,103,22,32.6
652,Eternal Sunshine of the Spotless Mind,2004,R,108,93,34.1
653,Dawn of the Dead,2004,R,101,75,58.9
654,Never Die Alone,2004,R,88,25,5.5
655,Scooby-Doo 2: Monsters Unleashed,2004,PG,93,21,84.0
656,Hellboy,2004,PG-13,122,81,59.0
657,The Prince and Me,2004,PG,111,28,28.1
658,Walking Tall,2004,PG-13,86,25,45.9
659,Home on the Range,2004,PG,76,54,49.9
660,Johnson Family Vacation,2004,PG-13,97,6,31.0
661,The Girl Next Door,2004,R,108,55,14.5
662,The Whole Ten Yards,2004,PG-13,98,4,16.2
663,Ella Enchanted,2004,PG,96,50,22.8
664,Connie and Carla,2004,PG-13,98,44,8.0
665,The Punisher,2004,R,124,29,33.7
666,Clifford's Really Big Movie,2004,G,73,53,2.8
667,Man on Fire,2004,R,146,39,77.7
668,13 Going on 30,2004,PG-13,98,64,56.0
669,Envy,2004,PG-13,99,7,12.2
670,Bobby Jones: Stroke of Genius,2004,PG,120,26,2.5
671,Godsend,2004,PG-13,102,4,14.3
672,Mean Girls,2004,PG-13,97,83,86.0
673,New York Minute,2004,PG,91,11,14.0
674,Troy,2004,R,163,54,133.1
675,Breakin' All the Rules,2004,PG-13,85,31,11.8
676,Shrek 2,2004,PG,93,88,436.5
677,A Day Without a Mexican,2004,R,100,27,4.0
678,Raising Helen,2004,PG-13,119,23,37.4
679,The Day After Tomorrow,2004,PG-13,124,45,186.6
680,Soul Plane,2004,R,86,18,13.9
681,Harry Potter and the Prisoner of Azkaban,2004,PG,142,91,249.4
682,Garfield,2004,PG,80,15,75.3
683,Saved!,2004,PG-13,92,61,8.8
684,The Chronicles of Riddick,2004,PG-13,119,29,56.8
685,The Stepford Wives,2004,PG-13,93,26,59.3
686,Around the World in 80 Days,2004,PG,120,31,23.9
687,Dodgeball: A True Underdog Story,2004,PG-13,92,70,114.2
688,The Terminal,2004,PG-13,128,61,77.0
689,White Chicks,2004,PG-13,109,15,69.1
690,Fahrenheit 9/11,2004,R,122,83,119.1
691,Spider-Man 2,2004,PG-13,127,94,373.4
692,King Arthur,2004,R,126,31,51.7
693,Sleepover,2004,PG,89,15,8.1
694,Anchorman: The Legend of Ron Burgundy,2004,PG-13,94,66,84.1
695,A Cinderella Story,2004,PG,95,11,51.4
696,The Clearing,2004,R,95,43,5.6
697,The Bourne Supremacy,2004,PG-13,108,81,176.0
698,Catwoman,2004,PG-13,104,9,40.2
699,She Hate Me,2004,R,138,19,0.0814
700,Thunderbirds,2004,PG,95,19,6.8
701,The Manchurian Candidate,2004,R,129,81,65.7
702,The Village,2004,PG-13,108,43,114.2
703,Harold & Kumar Go to White Castle,2004,R,88,74,18.2
704,Before Sunset,2004,R,80,95,5.6
705,Lightning in a Bottle,2004,PG-13,103,87,0.078
706,De-Lovely,2004,PG-13,125,48,13.1
707,The Door in the Floor,2004,R,111,67,3.6
708,Maria Full of Grace,2004,R,101,97,6.5
709,Little Black Book,2004,PG-13,111,21,20.4
710,Collateral,2004,R,120,86,100.0
711,The Princess Diaries 2: Royal Engagement,2004,G,113,25,95.1
712,Yu-Gi-Oh!: The Movie,2004,PG,89,5,19.7
713,Riding Giants,2004,PG-13,105,93,2.1
714,AVP: Alien vs. Predator,2004,PG-13,101,21,80.2
715,Without a Paddle,2004,PG-13,95,14,58.2
716,Garden State,2004,R,102,86,26.7
717,Benji: Off the Leash!,2004,PG,97,33,3.6
718,Exorcist: The Beginning,2004,R,114,11,41.8
719,Napoleon Dynamite,2004,PG,96,71,44.5
720,Suspect Zero,2004,R,99,18,8.6
721,Anacondas: The Hunt for the Blood Orchid,2004,PG-13,97,26,31.5
722,Superbabies: Baby Geniuses 2,2004,PG,88,0,9.0
723,Vanity Fair,2004,PG-13,141,51,16.1
724,Paparazzi,2004,PG-13,84,18,15.6
725,Wicker Park,2004,PG-13,114,25,12.8
726,The Cookout,2004,PG-13,97,5,11.5
727,We Don't Live Here Anymore,2004,R,101,65,1.9
728,Gunner Palace,2004,PG-13,85,85,0.0635
729,Cellular,2004,PG-13,94,55,32.0
730,Resident Evil: Apocalypse,2004,R,94,21,50.7
731,Mr 3000,2004,PG-13,104,54,21.8
732,Wimbledon,2004,PG-13,98,60,16.8
733,Sky Captain and the World of Tomorrow,2004,PG,106,72,37.6
734,First Daughter,2004,PG,106,8,9.0
735,The Forgotten,2004,PG-13,91,31,66.6
736,Shaun of the Dead,2004,R,99,92,13.5
737,Criminal,2004,R,87,69,0.7
738,Mean Creek,2004,R,90,90,0.3
739,Shark Tale,2004,PG,90,35,160.8
740,Going Upriver: The Long War of John Kerry,2004,PG-13,87,89,0.5
741,Taxi,2004,PG-13,97,10,36.5
742,Friday Night Lights,2004,PG-13,118,81,60.6
743,Raise Your Voice,2004,PG,103,15,10.4
744,A Home at the End of the World,2004,R,97,49,0.9
745,Shall We Dance,2004,PG-13,106,46,57.8
746,Team America: World Police,2004,R,98,77,32.7
747,The Motorcycle Diaries,2004,R,126,84,16.7
748,Hair Show,2004,PG-13,105,17,0.2
749,The Final Cut,2004,PG-13,95,37,0.5
750,Surviving Christmas,2004,PG-13,91,7,11.2
751,Woman Thou Art Loosed,2004,R,94,50,6.8
752,The Assassination of Richard Nixon,2004,R,95,68,0.6
753,I Heart Huckabees,2004,R,107,62,12.7
754,The Grudge,2004,PG-13,92,39,110.2
755,Birth,2004,R,100,38,5.0
756,Thérèse: The Story of Saint Thérèse of Lisieux,2004,PG,96,11,0.6
757,Saw,2004,R,103,48,0.7
758,Ray,2004,PG-13,152,81,75.2
759,Alfie,2004,R,103,49,13.4
760,The Last Shot,2004,R,93,61,0.4
761,Fade to Black,2004,R,109,58,1.0
762,The Polar Express,2004,G,100,55,0.5
763,Seed of Chucky,2004,R,87,32,17.0
764,After the Sunset,2004,PG-13,97,18,28.3
765,The SpongeBob SquarePants Movie,2004,PG,87,68,85.4
766,Bridget Jones: The Edge of Reason,2004,R,108,27,40.2
767,National Treasure,2004,PG,131,44,173.0
768,Alexander,2004,R,175,16,34.3
769,Christmas with the Kranks,2004,PG,99,5,73.7
770,Eros,2004,R,104,34,0.0537
771,The Machinist,2004,R,101,77,0.9
772,Blade: Trinity,2004,R,113,26,52.4
773,Ocean's Twelve,2004,PG-13,125,55,125.4
774,Closer,2004,R,104,68,34.0
775,Spanglish,2004,PG-13,131,53,42.0
776,Flight of the Phoenix,2004,PG-13,113,30,20.9
777,Lemony Snicket's A Series of Unfortunate Events,2004,PG,108,72,118.5
778,Meet the Fockers,2004,PG-13,115,38,279.2
779,The Phantom of the Opera,2004,PG-13,143,32,51.2
780,Fat Albert,2004,PG,93,25,48.0
781,The Aviator,2004,PG-13,170,87,102.6
782,Beyond the Sea,2004,PG-13,118,42,6.1
783,Kinsey,2004,R,118,90,10.2
784,Duck Season,2004,R,90,90,0.1
785,A Very Long Engagement,2004,R,133,78,6.2
786,In Good Company,2004,PG-13,109,83,45.5
787,Around the Bend,2004,R,85,28,0.1
788,Sideways,2004,R,126,96,71.4
789,A Love Song for Bobby Long,2004,R,119,43,0.1
790,The Work and the Glory,2004,PG,118,17,3.0
791,Million Dollar Baby,2004,PG-13,132,91,100.4
792,Riding the Bullet,2004,R,98,27,0.1
793,Hotel Rwanda,2004,PG-13,121,90,23.5
794,P.S.,2004,R,97,55,0.1
795,Being Julia,2004,R,104,76,7.7
796,The Merchant of Venice,2004,R,138,72,3.8
797,Eulogy,2004,R,91,32,0.0418
798,Born Into Brothels: Calcutta's Red Light Kids,2004,R,85,96,3.4
799,Bride & Prejudice,2004,PG-13,122,64,6.5
800,Melinda and Melinda,2004,PG-13,99,53,3.7
801,House of D,2004,PG-13,97,10,0.4
802,Jiminy Glick in Lalawood,2004,R,90,22,0.0257
803,Crash,2004,R,112,75,55.4
804,A Good Woman,2004,PG,93,37,0.0971
805,Primer,2004,PG-13,77,72,0.4
806,Saving Face,2004,R,91,87,1.0
807,Yes,2004,R,100,52,0.2
808,My Date with Drew,2004,PG,90,71,0.0852
809,Innocent Voices,2004,R,120,71,0.2
810,Winter Solstice,2004,R,90,60,0.2
811,Paper Clips,2004,G,82,72,1.0
812,Haven,2004,R,115,13,0.1
813,Romance & Cigarettes,2005,R,105,54,0.4
814,The Dying Gaul,2005,R,101,49,0.3
815,The Salon,2005,PG-13,90,12,0.0924
816,Why We Fight,2005,PG-13,98,78,1.9
817,White Noise,2005,PG-13,101,8,55.9
818,Elektra,2005,PG-13,97,10,24.3
819,Racing Stripes,2005,PG,102,35,49.2
820,Coach Carter,2005,PG-13,136,65,67.2
821,Assault on Precinct 13,2005,R,109,60,20.0
822,Are We There Yet?,2005,PG,95,11,82.3
823,Hide and Seek,2005,R,101,13,51.0
824,Alone in the Dark,2005,R,96,1,5.1
825,Boogeyman,2005,PG-13,89,13,46.4
826,The Wedding Date,2005,PG-13,90,10,32.0
827,Hitch,2005,PG-13,118,69,177.6
828,Pooh's Heffalump Movie,2005,G,68,79,18.0
829,Constellation,2005,PG-13,96,0,0.2
830,Constantine,2005,R,121,46,75.5
831,Because of Winn-Dixie,2005,PG,106,54,32.6
832,Son of the Mask,2005,PG,94,6,17.0
833,Diary of a Mad Black Woman,2005,PG-13,116,16,50.4
834,Man of the House,2005,PG-13,100,9,19.1
835,The Jacket,2005,R,103,44,6.3
836,The Pacifier,2005,PG,95,20,113.0
837,Be Cool,2005,PG-13,118,30,55.6
838,Hostage,2005,R,113,35,34.6
839,Robots,2005,PG,91,64,128.1
840,The Ring Two,2005,PG-13,110,20,75.9
841,Ice Princess,2005,G,98,52,24.4
842,Miss Congeniality 2: Armed and Fabulous,2005,PG-13,115,15,48.4
843,Guess Who,2005,PG-13,105,43,68.0
844,Beauty Shop,2005,PG-13,105,37,36.3
845,The Upside of Anger,2005,R,118,74,18.7
846,The Ballad of Jack and Rose,2005,R,112,47,0.6
847,Fever Pitch,2005,PG-13,104,65,42.0
848,Sahara,2005,PG-13,124,39,68.6
849,State Property 2,2005,R,94,14,1.7
850,Down and Derby,2005,PG,90,22,0.0439
851,The Amityville Horror,2005,R,90,23,64.3
852,The Great New Wonderful,2005,R,87,73,0.0397
853,The Interpreter,2005,PG-13,128,56,72.5
854,A Lot Like Love,2005,PG-13,107,41,21.8
855,Dust to Glory,2005,PG,97,60,0.6
856,The Game of Their Lives,2005,PG,101,26,0.4
857,King's Ransom,2005,PG-13,95,2,4.0
858,Madison,2005,PG,99,29,0.5
859,Factotum,2005,R,94,76,0.6
860,xXx: State of the Union,2005,PG-13,101,16,26.1
861,House of Wax,2005,R,113,25,32.0
862,Kingdom of Heaven,2005,R,144,39,47.3
863,Last Days,2005,R,97,57,0.4
864,Monster-in-Law,2005,PG-13,101,16,82.8
865,Unleashed,2005,R,103,65,24.4
866,Kicking & Screaming,2005,PG,95,41,52.6
867,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,80,380.2
868,Dominion: Prequel to the Exorcist,2005,R,117,30,0.2
869,The Longest Yard,2005,PG-13,113,31,158.0
870,Madagascar,2005,PG,86,55,193.1
871,Duma,2005,PG,100,93,0.8
872,The Sisterhood of the Traveling Pants,2005,PG,119,77,43.5
873,Cinderella Man,2005,PG-13,144,80,61.6
874,Lords of Dogtown,2005,PG-13,107,55,11.0
875,Mr. & Mrs. Smith,2005,PG-13,120,59,186.1
876,The Honeymooners,2005,PG-13,90,14,12.8
877,Batman Begins,2005,PG-13,140,85,205.2
878,The Perfect Man,2005,PG,100,6,16.2
879,Herbie Fully Loaded,2005,G,101,41,65.9
880,Bewitched,2005,PG-13,102,25,62.3
881,Land of the Dead,2005,R,93,74,20.4
882,Rize,2005,PG-13,86,83,3.3
883,War of the Worlds,2005,PG-13,116,74,234.1
884,Mad Hot Ballroom,2005,PG,105,84,7.9
885,Rebound,2005,PG,103,13,16.7
886,Dark Water,2005,PG-13,105,46,25.4
887,Fantastic Four,2005,PG-13,106,26,154.5
888,Heights,2005,R,93,64,1.0
889,Charlie and the Chocolate Factory,2005,PG,115,83,206.4
890,Wedding Crashers,2005,R,119,75,209.2
891,March of the Penguins,2005,G,80,94,77.4
892,The Island,2005,PG-13,136,40,35.8
893,Hustle & Flow,2005,R,116,82,22.1
894,The Devil's Rejects,2005,R,107,53,16.9
895,Stealth,2005,PG-13,121,13,31.7
896,Sky High,2005,PG,100,73,63.9
897,Must Love Dogs,2005,PG-13,98,35,43.8
898,Happy Endings,2005,R,128,54,1.2
899,The Wendell Baker Story,2005,PG-13,99,40,0.0481
900,The Dukes of Hazzard,2005,PG-13,104,13,80.2
901,Murderball,2005,R,88,98,1.3
902,Me and You and Everyone We Know,2005,R,91,81,3.7
903,Deuce Bigalow: European Gigolo,2005,R,83,9,22.3
904,The Skeleton Key,2005,PG-13,104,38,47.7
905,The Great Raid,2005,R,132,37,10.1
906,Supercross,2005,PG-13,80,6,3.0
907,Valiant,2005,G,76,31,19.4
908,The 40-Year-Old Virgin,2005,R,116,85,109.2
909,Red Eye,2005,PG-13,85,79,57.9
910,Don't Come Knocking,2005,R,122,42,0.3
911,Aliens of the Deep,2005,G,100,84,8.3
912,Broken Flowers,2005,R,106,88,13.6
913,The Cave,2005,PG-13,97,11,14.9
914,Undiscovered,2005,PG-13,97,8,1.0
915,The Constant Gardener,2005,R,129,84,33.6
916,Grizzly Man,2005,R,103,93,2.9
917,A Sound of Thunder,2005,PG-13,101,6,1.7
918,Underclassman,2005,PG-13,95,6,5.6
919,Nine Lives,2005,R,115,75,0.1
920,Mobsters and Mormons,2005,PG,90,75,0.0679
921,The Man,2005,PG-13,83,11,8.3
922,Green Street Hooligans,2005,R,109,47,0.1
923,Lord of War,2005,R,122,61,24.0
924,An Unfinished Life,2005,PG-13,108,53,8.5
925,Cry_Wolf,2005,PG-13,90,22,10.0
926,Just Like Heaven,2005,PG-13,95,56,48.3
927,Venom,2005,R,85,11,0.8
928,Junebug,2005,R,106,86,2.4
929,Corpse Bride,2005,PG,77,83,53.3
930,Flightplan,2005,PG-13,98,38,89.6
931,The Thing About My Folks,2005,PG-13,96,45,0.7
932,A History of Violence,2005,R,96,87,31.4
933,Serenity,2005,PG-13,119,82,25.3
934,Into the Blue,2005,PG-13,110,21,18.5
935,The Greatest Game Ever Played,2005,PG,120,63,15.3
936,In Her Shoes,2005,PG-13,130,75,32.8
937,Thumbsucker,2005,R,96,71,1.1
938,Two for the Money,2005,R,122,22,22.9
939,Waiting...,2005,R,94,31,16.1
940,The Gospel,2005,PG,105,32,15.8
941,Proof,2005,PG-13,100,62,7.5
942,The Curse of the Were-Rabbit,2005,G,85,95,56.1
943,Elizabethtown,2005,PG-13,123,28,26.8
944,The Fog,2005,PG-13,100,4,29.5
945,Everything Is Illuminated,2005,PG-13,106,66,1.6
946,Stay,2005,R,99,27,3.3
947,North Country,2005,R,126,68,18.3
948,The Work and the Glory II: American Zion,2005,PG-13,100,45,1.9
949,Doom,2005,R,105,19,28.0
950,El vacilón: The Movie,2005,R,90,0,1.7
951,Dreamer: Inspired by a True Story,2005,PG,106,64,33.0
952,Prime,2005,PG-13,105,50,22.7
953,The Weather Man,2005,R,102,58,12.5
954,Saw II,2005,R,93,36,87.0
955,The Legend of Zorro,2005,PG,129,26,45.4
956,Shopgirl,2005,R,106,61,10.1
957,Jarhead,2005,R,125,61,62.6
958,Chicken Little,2005,G,81,36,135.3
959,"Good Night, and Good Luck.",2005,PG,93,93,31.5
960,Get Rich or Die Tryin',2005,R,117,16,30.9
961,Zathura: A Space Adventure,2005,PG,101,75,28.0
962,Derailed,2005,R,108,20,35.9
963,Harry Potter and the Goblet of Fire,2005,PG-13,157,88,290.0
964,Kiss Kiss Bang Bang,2005,R,103,85,4.2
965,Walk the Line,2005,PG-13,136,82,119.3
966,In the Mix,2005,PG-13,95,14,10.1
967,"Yours, Mine & Ours",2005,PG,90,6,53.4
968,Rent,2005,PG-13,135,46,29.1
969,Pride & Prejudice,2005,PG,129,85,38.3
970,Just Friends,2005,PG-13,96,41,32.6
971,Bee Season,2005,PG-13,104,43,1.1
972,First Descent,2005,PG-13,110,52,0.7
973,Æon Flux,2005,PG-13,93,10,25.9
974,Down in the Valley,2005,R,114,52,0.4
975,Syriana,2005,R,128,72,50.8
976,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,76,291.7
977,King Kong,2005,PG-13,187,84,218.1
978,The Family Stone,2005,PG-13,103,51,59.9
979,The Squid and the Whale,2005,R,81,93,7.1
980,Fun with Dick and Jane,2005,PG-13,90,29,110.3
981,Cheaper by the Dozen 2,2005,PG,94,6,82.5
982,The Ringer,2005,PG-13,94,40,35.0
983,Memoirs of a Geisha,2005,PG-13,145,35,57.0
984,The Producers,2005,PG-13,134,51,19.2
985,Rumor Has It...,2005,PG-13,97,20,42.7
986,Little Manhattan,2005,PG,90,77,0.4
987,BloodRayne,2005,R,95,4,1.6
988,Casanova,2005,R,112,44,11.2
989,Hostel,2005,R,94,61,47.3
990,Munich,2005,R,164,78,47.4
991,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,PG-13,103,22,0.2
992,Hoodwinked!,2005,PG,80,46,50.8
993,Brokeback Mountain,2005,R,134,87,83.0
994,End of the Spear,2005,PG-13,108,40,11.7
995,Match Point,2005,R,124,76,23.1
996,The New World,2005,PG-13,135,62,12.5
997,Looking for Comedy in the Muslim World,2005,PG-13,98,42,0.8
998,Nanny McPhee,2005,PG,97,73,47.1
999,The Matador,2005,R,96,74,12.4
1000,Capote,2005,R,114,90,28.3
1001,Mrs Henderson Presents,2005,R,103,67,11.0
1002,The Three Burials of Melquiades Estrada,2005,R,121,85,4.9
1003,Transamerica,2005,R,103,76,8.7
1004,Block Party,2005,R,103,92,11.7
1005,Mirrormask,2005,PG,101,54,0.8
1006,V for Vendetta,2005,R,132,73,70.5
1007,The World's Fastest Indian,2005,PG-13,127,82,5.0
1008,The White Countess,2005,PG-13,135,50,1.6
1009,Wassup Rockers,2005,R,111,36,0.1
1010,When Do We Eat?,2005,R,86,42,0.4
1011,Brick,2005,R,110,80,2.0
1012,Preaching to the Choir,2005,PG-13,103,36,0.3
1013,Thank You for Smoking,2005,R,92,86,24.6
1014,La mujer de mi hermano,2005,R,89,20,2.8
1015,Hard Candy,2005,R,104,68,1.0
1016,The Promise,2005,PG-13,121,31,0.6
1017,The Notorious Bettie Page,2005,R,91,56,1.4
1018,An American Haunting,2005,PG-13,83,12,16.2
1019,Goal! The Dream Begins,2005,PG-13,118,44,4.2
1020,Pretty Persuasion,2005,R,104,32,0.0586
1021,The Lost City,2005,R,144,25,2.4
1022,Kinky Boots,2005,PG-13,107,57,1.7
1023,The Heart of the Game,2005,PG-13,97,86,0.4
1024,Shadowboxer,2005,R,93,18,0.3
1025,Strangers with Candy,2005,R,97,52,1.9
1026,Leonard Cohen: I'm Your Man,2005,PG-13,105,69,0.8
1027,Boynton Beach Club,2005,R,105,60,3.0
1028,The Quiet,2005,R,96,21,0.3
1029,Trust the Man,2005,R,103,27,1.5
1030,Lassie,2005,PG,100,93,0.5
1031,The Protector,2005,R,81,54,11.9
1032,Harsh Times,2005,R,116,48,3.3
1033,Slow Burn,2005,R,93,12,1.2
1034,Adam & Steve,2005,R,99,55,0.2
1035,"The Prize Winner of Defiance, Ohio",2005,PG-13,99,57,0.4
1036,How the Garcia Girls Spent Their Summer,2005,R,128,79,0.0914
1037,Sweet Land,2005,PG,110,85,1.3
1038,Love's Abiding Joy,2006,PG,87,13,0.2
1039,Grandma's Boy,2006,R,94,18,5.9
1040,Last Holiday,2006,PG-13,112,55,38.4
1041,Tristan + Isolde,2006,PG-13,125,32,14.6
1042,Underworld: Evolution,2006,R,106,16,62.3
1043,Big Momma's House 2,2006,PG-13,99,6,70.1
1044,Roving Mars,2006,G,40,70,10.0
1045,Annapolis,2006,PG-13,108,10,16.8
1046,Something New,2006,PG-13,99,61,11.4
1047,When a Stranger Calls,2006,PG-13,87,9,47.9
1048,Believe in Me,2006,PG,131,60,0.2
1049,Final Destination 3,2006,R,93,43,54.1
1050,Curious George,2006,G,86,69,58.3
1051,The Pink Panther,2006,PG,93,22,82.2
1052,Firewall,2006,PG-13,105,19,48.7
1053,Freedomland,2006,R,113,23,12.3
1054,Eight Below,2006,PG,120,72,81.6
1055,The Second Chance,2006,PG-13,102,40,0.4
1056,Date Movie,2006,PG-13,83,7,48.5
1057,Madea's Family Reunion,2006,PG-13,107,25,63.2
1058,Running Scared,2006,R,122,40,6.7
1059,Doogal,2006,G,78,8,7.3
1060,Deep Sea,2006,G,41,91,42.0
1061,Aquamarine,2006,PG,104,51,18.6
1062,Ultraviolet,2006,PG-13,88,9,18.3
1063,16 Blocks,2006,PG-13,105,55,36.9
1064,Failure to Launch,2006,PG-13,97,24,88.7
1065,The Shaggy Dog,2006,PG,98,26,61.0
1066,The Hills Have Eyes,2006,R,107,49,41.7
1067,Don't Trip... He Ain't Through with Me Yet,2006,PG,90,45,0.2
1068,Church Ball,2006,PG,91,18,0.3
1069,Find Me Guilty,2006,R,125,61,0.6
1070,Inside Man,2006,R,129,86,88.4
1071,Larry the Cable Guy: Health Inspector,2006,PG-13,89,5,15.7
1072,Stay Alive,2006,PG-13,85,9,23.0
1073,Slither,2006,R,95,86,7.8
1074,ATL,2006,PG-13,105,62,21.2
1075,Basic Instinct 2,2006,R,114,7,5.9
1076,Ice Age: The Meltdown,2006,PG,91,57,195.3
1077,The Benchwarmers,2006,PG-13,80,11,57.7
1078,Phat Girlz,2006,PG-13,99,23,6.9
1079,Take the Lead,2006,PG-13,118,44,34.7
1080,Ask the Dust,2006,R,117,35,0.6
1081,Scary Movie 4,2006,PG-13,83,37,90.7
1082,The Wild,2006,G,94,20,37.3
1083,The Sentinel,2006,PG-13,108,33,36.2
1084,American Dreamz,2006,PG-13,107,41,7.2
1085,Journey from the Fall,2006,R,135,92,0.5
1086,Silent Hill,2006,R,125,29,47.0
1087,Akeelah and the Bee,2006,PG,112,84,18.8
1088,Stick It,2006,PG-13,103,31,26.9
1089,The TV Set,2006,R,88,64,0.0345
1090,United 93,2006,R,111,91,31.5
1091,RV,2006,PG,99,23,71.4
1092,Hoot,2006,PG,91,26,8.1
1093,Mission: Impossible III,2006,PG-13,126,70,133.4
1094,Art School Confidential,2006,R,102,36,3.2
1095,Just My Luck,2006,PG-13,103,13,17.2
1096,Poseidon,2006,PG-13,98,33,60.7
1097,See No Evil,2006,R,84,8,15.0
1098,Over the Hedge,2006,PG,83,75,155.0
1099,The Da Vinci Code,2006,PG-13,149,25,217.5
1100,X-Men: The Last Stand,2006,PG-13,104,58,234.2
1101,The Break-Up,2006,PG-13,106,33,118.7
1102,Keeping Up with the Steins,2006,PG-13,90,37,4.3
1103,The Omen,2006,R,110,27,54.6
1104,A Prairie Home Companion,2006,PG-13,105,81,20.2
1105,Cars,2006,G,117,74,244.1
1106,Garfield 2,2006,PG,78,11,28.3
1107,The Fast and the Furious: Tokyo Drift,2006,PG-13,104,37,62.5
1108,The Lake House,2006,PG,99,35,52.3
1109,Nacho Libre,2006,PG,92,40,80.2
1110,Click,2006,PG-13,107,32,137.3
